model,calibration,accuracy,log_loss,mean_brier
Logistic,Isotonic,0.6071428571428571,1.0153912009277268,0.19339330369441185
Logistic,Platt,0.6160714285714286,0.9356960816007938,0.18417866638060976
Logistic,raw,0.6071428571428571,0.9486377637066393,0.1862870225444717
RandomForest,Isotonic,0.6160714285714286,1.8310069370981292,0.18019064377486804
RandomForest,Platt,0.6160714285714286,0.9111230158757652,0.17709269925596882
RandomForest,raw,0.625,0.9111142095206753,0.1770685285650131
XGBoost,Isotonic,0.6071428571428571,1.5544255933859392,0.1798345514454783
XGBoost,Platt,0.6339285714285714,0.9083940859005418,0.17551148929962448
XGBoost,raw,0.6160714285714286,0.9077371430490112,0.17550281884722085
